Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2014-11-10,7.862852573394775,13.479999542236328,0.0,13.600000381469728,13.3100004196167,13.470000267028809,0.0,618100,Monday,11,2014,4,7.841188907623291,7.647487072717576,0.04723278360565406,0.006721264975878993,0.9996746885700808,75.86925467619152,0.029161930084228516,7.649752283096314,8.032117626440927,7.2673869397517015
2014-11-11,7.857020854949951,13.470000267028809,0.0,13.529999732971191,13.34000015258789,13.529999732971191,0.0,82500,Tuesday,11,2014,4,7.840355804988316,7.659622215089344,0.04683676049914214,-0.0007416797390500385,0.9989332501079272,74.54186855314092,-0.005831718444824219,7.6648188829422,8.05524044978949,7.274397316094909
2014-11-12,7.927016735076904,13.59000015258789,0.0,13.640000343322754,13.40999984741211,13.489999771118164,0.0,269600,Wednesday,11,2014,4,7.85452127456665,7.677304494948614,0.05643787436722009,0.008908704891989139,1.0078324516399344,74.15308776688728,0.09915828704834073,7.692684459686279,8.07386367431445,7.311505245058108
2014-11-13,7.72869348526001,13.25,0.0,13.5600004196167,13.25,13.5600004196167,0.0,91800,Thursday,11,2014,4,7.82952220099313,7.69439917518979,0.06849828489239931,-0.025018649063691,0.9826178452173555,58.92051936210332,-0.17499351501464844,7.711505961418152,8.057456605256732,7.365555317579573
2014-11-14,7.804524898529053,13.380000114440918,0.0,13.5,13.199999809265137,13.289999961853027,0.0,110200,Friday,11,2014,4,7.821189676012311,7.715935434613909,0.0673053053844424,0.009811673009631816,0.9922589702080572,59.68240270905024,-0.058327674865722656,7.731213092803955,8.048669564063601,7.413756621544309
2014-11-17,7.816189765930176,13.399999618530272,0.0,13.670000076293944,13.239999771118164,13.380000114440918,0.0,102400,Monday,11,2014,4,7.82952220099313,7.735259601048061,0.061520489913209415,0.0014946287637984668,0.9937420290060672,56.5074821122085,0.058327674865722656,7.751793718338012,8.031175451000049,7.472411985675975
2014-11-18,7.775361061096191,13.329999923706056,0.0,13.489999771118164,13.300000190734863,13.470000267028809,0.0,167100,Tuesday,11,2014,4,7.824522767748151,7.752915972755069,0.06467842438712393,-0.005223607161119803,0.9885511110270454,49.58555020595462,-0.03499603271484375,7.767427110671997,8.011448457343723,7.523405764000271
2014-11-19,7.79285717010498,13.359999656677246,0.0,13.460000038146973,13.277999877929688,13.300000190734863,0.0,215800,Wednesday,11,2014,4,7.814523424421038,7.768638065883091,0.06315776475301409,0.0022501989131191724,0.9907755476626412,47.481815102169435,-0.06999540328979581,7.782772755622863,7.987737351442509,7.577808159803218
2014-11-20,7.664529323577881,13.140000343322754,0.0,13.479999542236328,13.109999656677246,13.3100004196167,0.0,655400,Thursday,11,2014,4,7.787024634225028,7.7771421160016745,0.08096535672955145,-0.01646736796606396,0.9744600821475019,39.102373972764966,-0.1924915313720703,7.787633633613586,7.974933176325022,7.60033409090215
2014-11-21,7.670367240905762,13.149999618530272,0.0,13.4399995803833,13.05500030517578,13.329999923706056,0.0,662900,Friday,11,2014,4,7.750360420772007,7.782049519675119,0.06315805731164405,0.0007616798216065757,0.9752023087290348,41.05957719341275,-0.2566494941711426,7.79307713508606,7.957654044057664,7.628500226114456
2014-11-24,7.629532337188721,13.079999923706056,0.0,13.220000267028809,12.890000343322754,13.220000267028809,0.0,214400,Monday,11,2014,4,7.736194542476109,7.785289287567139,0.07816532282386587,-0.005323722115842089,0.9700106026306338,33.792944423835166,-0.09916114807128906,7.793572783470154,7.955995750620225,7.631149816320082
